bag,chest,foot,hand,head,neck,ring,waist,weapon
6025,Ornate Chestplate,Ornate Greaves,Wool Gloves,Helm of the Twins,Amulet,Titanium Ring,Sash,Wand of Rage
6026,"""Shimmering Peak"" Demon Husk of Fury +1",Leather Boots,Studded Leather Gloves,Silk Hood,"""Dusk Sun"" Amulet of Fury",Titanium Ring,Wool Sash,Tome
6027,Demon Husk,Chain Boots of Titans,Divine Gloves,Hood,Pendant,Bronze Ring,"""Woe Bite"" Demonhide Belt of Enlightenment +1",Warhammer of Titans
6028,Divine Robe,Greaves,Heavy Gloves,Demon Crown,"""Vengeance Root"" Amulet of Giants",Silver Ring,Ornate Belt,"""Fate Glow"" Scimitar of Brilliance"
6029,Robe,Chain Boots,Wool Gloves of Rage,Hood of Titans,Amulet,Bronze Ring,Wool Sash,Club of Power
6030,Divine Robe,"""Sorrow Moon"" Hard Leather Boots of Rage +1",Wool Gloves,Full Helm,Necklace,Titanium Ring of Perfection,Ornate Belt of Titans,"""Demon Peak"" Grimoire of Enlightenment +1"
6031,Plate Mail,Chain Boots,Linen Gloves,Ancient Helm,Pendant,Titanium Ring,Brightsilk Sash,Short Sword
6032,Silk Robe,Holy Greaves,Chain Gloves,Full Helm of Rage,Amulet of Skill,Platinum Ring of the Fox,Heavy Belt,Book
6033,Linen Robe,Greaves,Linen Gloves,Ancient Helm,Necklace of Skill,Gold Ring of Giants,Wool Sash of Giants,Mace
6034,Leather Armor,Divine Slippers,Gauntlets,Linen Hood,Necklace,Platinum Ring,Dragonskin Belt,"""Eagle Grasp"" Katana of Rage +1"
6035,Ornate Chestplate,Divine Slippers,Dragonskin Gloves,Leather Cap,Pendant,Titanium Ring,Wool Sash,Falchion
6036,Divine Robe,Heavy Boots,Dragonskin Gloves,"""Cataclysm Peak"" Divine Hood of the Fox +1",Pendant,Platinum Ring,Leather Belt of Fury,Warhammer of Power
6037,Chain Mail,Demonhide Boots,Leather Gloves of Skill,"""Dusk Roar"" Linen Hood of Fury",Pendant,Gold Ring,Hard Leather Belt,Bone Wand of Reflection
6038,Robe,Holy Greaves,Ornate Gauntlets,Ornate Helm,Pendant,"""Fate Sun"" Bronze Ring of Titans",Ornate Belt,Ghost Wand
6039,Holy Chestplate,Chain Boots,Silk Gloves of Protection,Hood,"""Shimmering Bite"" Pendant of Enlightenment +1","""Pain Tear"" Gold Ring of Rage",Demonhide Belt,Club
6040,"""Kraken Shout"" Linen Robe of Detection +1",Chain Boots,Heavy Gloves,Divine Hood,Pendant,Silver Ring,War Belt,"""Demon Grasp"" Katana of Brilliance +1"
6041,Dragonskin Armor,Shoes,Divine Gloves,Divine Hood,Amulet,Bronze Ring,Demonhide Belt,"""Plague Whisper"" Ghost Wand of the Fox"
6042,Chain Mail,Demonhide Boots of Protection,Ornate Gauntlets,Helm,Necklace,Gold Ring,Dragonskin Belt of Protection,Long Sword
6043,Divine Robe,Silk Slippers,Gloves,Ornate Helm,Necklace,Gold Ring,Wool Sash,Falchion
6044,Chain Mail,Silk Slippers,Studded Leather Gloves of the Fox,Ornate Helm,Necklace of Fury,Silver Ring,Silk Sash,Long Sword
6045,"""Corruption Bite"" Demon Husk of Anger +1",Divine Slippers,Divine Gloves,Ancient Helm,Pendant,"""Victory Bender"" Bronze Ring of Reflection +1","""Blight Bite"" Silk Sash of Anger +1",Quarterstaff of the Twins
6046,Silk Robe,Dragonskin Boots,Silk Gloves of Brilliance,Full Helm,Pendant,Bronze Ring,"""Blight Bite"" Hard Leather Belt of Titans +1",Falchion
6047,Robe,Silk Slippers,Dragonskin Gloves of Fury,Cap,Pendant of Protection,Bronze Ring of Enlightenment,Studded Leather Belt,Ghost Wand
6048,Robe,Ornate Greaves,"""Pain Sun"" Heavy Gloves of Enlightenment",Divine Hood,Pendant,Platinum Ring,Hard Leather Belt,Katana
6049,Holy Chestplate,"""Havoc Root"" Divine Slippers of the Twins","""Apocalypse Root"" Divine Gloves of Brilliance",Linen Hood,Necklace,"""Ghoul Sun"" Silver Ring of Perfection",Silk Sash,Short Sword of Giants
6050,"""Corruption Grasp"" Demon Husk of the Twins +1",Shoes,Linen Gloves,Dragon's Crown of Rage,Necklace of Giants,Platinum Ring,War Belt,Chronicle
6051,Linen Robe,Greaves,"""Rune Sun"" Linen Gloves of Reflection",Divine Hood,Amulet,Silver Ring,Mesh Belt,Long Sword
6052,"""Hypnotic Sun"" Holy Chestplate of Power",Hard Leather Boots,Divine Gloves,Dragon's Crown,Pendant,Titanium Ring of the Fox,"""Death Sun"" Heavy Belt of Power",Book
6053,Dragonskin Armor of Protection,Silk Slippers,Holy Gauntlets,War Cap,Necklace of Titans,Platinum Ring,Sash,Quarterstaff
6054,Holy Chestplate,Greaves,Chain Gloves,Linen Hood,Necklace,Silver Ring,"""Carrion Root"" War Belt of Protection",Grave Wand
6055,Demon Husk,Greaves,Linen Gloves,Full Helm,Amulet,Silver Ring,Linen Sash,Katana
6056,Linen Robe,"""Morbid Glow"" Ornate Greaves of Skill",Dragonskin Gloves,Divine Hood,Pendant,Gold Ring,Mesh Belt,Chronicle
6057,Ornate Chestplate,Demonhide Boots,Leather Gloves,Leather Cap,Amulet,Bronze Ring,Hard Leather Belt,Long Sword
6058,Robe of Brilliance,Hard Leather Boots,Chain Gloves,Great Helm,Necklace,Titanium Ring,War Belt of Brilliance,Short Sword
6059,Silk Robe,Greaves,Hard Leather Gloves,Full Helm,Necklace,Platinum Ring,Ornate Belt,Mace of the Twins
6060,Chain Mail,Leather Boots,Linen Gloves,Ornate Helm,Pendant,Bronze Ring,Linen Sash,Warhammer
6061,Plate Mail of Giants,Dragonskin Boots,Hard Leather Gloves,Cap of the Twins,Amulet,Gold Ring of Brilliance,Studded Leather Belt,Falchion of Reflection
6062,Shirt of Reflection,Leather Boots,Leather Gloves of the Fox,Divine Hood,Amulet of the Twins,Platinum Ring,Leather Belt of the Twins,"""Oblivion Moon"" Book of Detection +1"
6063,Demon Husk of the Twins,"""Corruption Moon"" Hard Leather Boots of Detection +1",Ornate Gauntlets,Leather Cap,Necklace,Bronze Ring,Mesh Belt,Warhammer
6064,Plate Mail of Rage,Silk Slippers of Brilliance,Wool Gloves of Enlightenment,"""Victory Bender"" Demon Crown of Fury +1",Amulet,Gold Ring,Leather Belt of the Twins,Book
6065,Ring Mail,Silk Slippers,Studded Leather Gloves,Silk Hood of Brilliance,Pendant of Protection,Silver Ring,Brightsilk Sash,Wand of Protection
6066,Linen Robe,Linen Shoes,Hard Leather Gloves,Linen Hood of Perfection,Necklace of Giants,Bronze Ring,"""Shimmering Bite"" Sash of Enlightenment +1",Scimitar
6067,Robe of Anger,Wool Shoes of Reflection,Gauntlets,Cap,Pendant,Bronze Ring,Dragonskin Belt,Mace
6068,Silk Robe of Enlightenment,Studded Leather Boots,Hard Leather Gloves,Demon Crown,Amulet,Silver Ring,Ornate Belt,Short Sword
6069,Plate Mail,Leather Boots,Dragonskin Gloves,Great Helm,Necklace,Silver Ring,Ornate Belt,Chronicle
6070,"""Plague Glow"" Holy Chestplate of Giants",Shoes,Chain Gloves,War Cap,Necklace,Platinum Ring of Perfection,Leather Belt of Fury,Tome
6071,Studded Leather Armor,Dragonskin Boots,Gauntlets,Linen Hood,Pendant,Gold Ring,Plated Belt of Perfection,Mace of the Twins
6072,Ornate Chestplate,Shoes,"""Hypnotic Tear"" Ornate Gauntlets of Rage",Ancient Helm of Enlightenment,"""Plague Roar"" Amulet of Power","""Corruption Bite"" Titanium Ring of Reflection +1",Leather Belt of Giants,"""Armageddon Bender"" Long Sword of Enlightenment +1"
6073,Ornate Chestplate,Ornate Greaves,Silk Gloves,War Cap,Necklace,Bronze Ring of Anger,Heavy Belt,Chronicle
6074,Linen Robe,Dragonskin Boots,Silk Gloves,Leather Cap,Necklace of Perfection,Platinum Ring,Dragonskin Belt,Mace
6075,Shirt,Hard Leather Boots,Gauntlets,Linen Hood,Necklace of Vitriol,Gold Ring,Demonhide Belt,Maul of Reflection
6076,Ornate Chestplate,Studded Leather Boots,Studded Leather Gloves,War Cap,Pendant,Gold Ring,"""Gloom Bite"" Sash of the Fox +1",Book
6077,"""Victory Bender"" Linen Robe of Fury +1",Divine Slippers,Holy Gauntlets of the Twins,"""Bramble Whisper"" Linen Hood of Reflection",Pendant,Bronze Ring,Leather Belt of Rage,Quarterstaff
6078,Divine Robe,Dragonskin Boots of the Fox,"""Victory Bender"" Hard Leather Gloves of Enlightenment +1",Great Helm,Pendant,Gold Ring,Silk Sash,Wand
6079,Divine Robe of Anger,Dragonskin Boots of the Twins,Dragonskin Gloves,Linen Hood,Pendant,Silver Ring,Dragonskin Belt,Short Sword
6080,Demon Husk,Hard Leather Boots,Hard Leather Gloves,War Cap,Necklace of the Fox,Titanium Ring,Wool Sash,Club
6081,"""Maelstrom Sun"" Studded Leather Armor of Fury",Shoes,Dragonskin Gloves,Silk Hood,Pendant,Gold Ring,Heavy Belt,Club
6082,Plate Mail,"""Plague Sun"" Studded Leather Boots of Perfection",Gauntlets,Ancient Helm,Necklace,Silver Ring,Studded Leather Belt,Quarterstaff
6083,Chain Mail of Giants,Leather Boots,Heavy Gloves,Great Helm,Amulet,Gold Ring of Skill,Linen Sash,Scimitar
6084,Shirt,Linen Shoes,"""Plague Root"" Divine Gloves of Rage",Dragon's Crown,Necklace of Power,Titanium Ring of Skill,Plated Belt,Falchion
6085,Divine Robe,Heavy Boots,Hard Leather Gloves,Cap,Pendant,Bronze Ring,Brightsilk Sash,Scimitar
6086,Chain Mail,"""Cataclysm Grasp"" Hard Leather Boots of Vitriol +1",Linen Gloves,Ancient Helm,Necklace of Giants,Bronze Ring,Silk Sash of Fury,Scimitar
6087,Plate Mail,Wool Shoes,Heavy Gloves,Crown,Pendant,Silver Ring,Studded Leather Belt,"""Storm Sun"" Tome of Power"
6088,Divine Robe,Greaves,Silk Gloves,Full Helm of Protection,Necklace,Silver Ring,Linen Sash,"""Grim Moon"" Book of Protection +1"
6089,Silk Robe,"""Foe Moon"" Demonhide Boots of Skill +1",Chain Gloves of Anger,Full Helm,Pendant of Titans,Platinum Ring of Detection,Sash,Katana of Vitriol
6090,Chain Mail,Demonhide Boots,Gauntlets,Helm of Rage,Pendant,Titanium Ring,Studded Leather Belt,Wand
6091,Demon Husk,Leather Boots of Power,Gauntlets of Protection,Dragon's Crown of Fury,Necklace,"""Havoc Glow"" Bronze Ring of Protection",Ornate Belt,Falchion
6092,Chain Mail,Divine Slippers,Holy Gauntlets,Dragon's Crown,Amulet,Titanium Ring,Studded Leather Belt,Wand of Vitriol
6093,Ornate Chestplate,Silk Slippers,Holy Gauntlets,Helm of the Fox,Pendant,Platinum Ring,Linen Sash,Tome
6094,Hard Leather Armor,Leather Boots,Linen Gloves,Great Helm,Pendant,Titanium Ring,Wool Sash,Grave Wand
6095,Plate Mail,Hard Leather Boots,Studded Leather Gloves,Crown,Pendant,Gold Ring,Sash,Long Sword of Power
6096,Demon Husk,Wool Shoes,Holy Gauntlets,Full Helm,Pendant,Gold Ring of Vitriol,Demonhide Belt,Long Sword
6097,Shirt,Ornate Greaves,Linen Gloves,"""Behemoth Root"" Linen Hood of the Twins",Amulet,Titanium Ring,Mesh Belt of Enlightenment,Mace
6098,Silk Robe,Holy Greaves,Chain Gloves,Great Helm,Necklace,Platinum Ring,War Belt,"""Rage Grasp"" Katana of Giants +1"
6099,Plate Mail,Studded Leather Boots of Brilliance,Holy Gauntlets of Vitriol,Dragon's Crown of Anger,Amulet,Gold Ring,Studded Leather Belt,"""Cataclysm Peak"" Grimoire of the Fox +1"
6100,Silk Robe,"""Behemoth Whisper"" Divine Slippers of Fury","""Rage Bite"" Silk Gloves of Power +1",Full Helm,Necklace,Platinum Ring,Demonhide Belt,Book
6101,Robe of Skill,Heavy Boots,Dragonskin Gloves,Full Helm,Necklace,Titanium Ring of Vitriol,"""Havoc Roar"" War Belt of Enlightenment",Falchion
6102,Ring Mail,Divine Slippers of the Twins,Leather Gloves,"""Armageddon Grasp"" Demon Crown of Protection +1",Amulet,Titanium Ring,Demonhide Belt,Bone Wand of Fury
6103,Ring Mail,Leather Boots,Ornate Gauntlets,Leather Cap,Necklace,Gold Ring,Brightsilk Sash,Tome
6104,Hard Leather Armor,Hard Leather Boots,Wool Gloves,Dragon's Crown of Giants,Necklace,Gold Ring,Heavy Belt of the Twins,Tome
6105,Leather Armor,Leather Boots,"""Corpse Roar"" Linen Gloves of Power",Helm of Power,Pendant,Silver Ring,"""Brimstone Bite"" Silk Sash of Titans +1",Maul of Fury
6106,Dragonskin Armor of Vitriol,Dragonskin Boots of Anger,Demon's Hands,Linen Hood,Necklace of Vitriol,Bronze Ring,Linen Sash,Quarterstaff
6107,Divine Robe,Holy Greaves,Gauntlets of Skill,War Cap,Necklace,Gold Ring,Wool Sash,Bone Wand
6108,Linen Robe of Enlightenment,Linen Shoes,Holy Gauntlets of Brilliance,Silk Hood,Amulet,Platinum Ring,Hard Leather Belt,Mace
6109,Plate Mail of Protection,"""Rage Grasp"" Greaves of Giants +1","""Foe Peak"" Gauntlets of Perfection +1",Dragon's Crown,Pendant of Anger,Bronze Ring of Perfection,Linen Sash of Detection,Club
6110,Linen Robe,Silk Slippers,Linen Gloves,Dragon's Crown,Pendant of Skill,Bronze Ring,Linen Sash,Maul
6111,Holy Chestplate,Dragonskin Boots,Demon's Hands,Linen Hood,Pendant,Gold Ring,Plated Belt,Mace of Rage
6112,Ornate Chestplate of Titans,Linen Shoes,Wool Gloves of Vitriol,Cap of the Twins,Necklace of Titans,"""Storm Root"" Bronze Ring of Rage",Ornate Belt of Fury,Tome
6113,Dragonskin Armor,Chain Boots,Holy Gauntlets of Titans,Leather Cap,Necklace,Titanium Ring,Hard Leather Belt,Falchion of Fury
6114,Dragonskin Armor,Ornate Greaves,Studded Leather Gloves,Cap,Necklace of Fury,Platinum Ring of Brilliance,Heavy Belt,Book of Protection
6115,Divine Robe,Wool Shoes of Perfection,Ornate Gauntlets,Dragon's Crown,Amulet,Titanium Ring,Hard Leather Belt of Fury,Warhammer of Power
6116,Silk Robe,Linen Shoes,Chain Gloves,Dragon's Crown,Necklace,Bronze Ring of Power,Linen Sash of Skill,Quarterstaff of Detection
6117,Robe,Holy Greaves,Heavy Gloves,Cap,Necklace of Perfection,"""Brimstone Grasp"" Gold Ring of Brilliance +1",War Belt of Anger,Mace of Vitriol
6118,Leather Armor,Shoes,Demon's Hands,Dragon's Crown,Pendant,Titanium Ring,Silk Sash,Mace
6119,Divine Robe,Dragonskin Boots,Wool Gloves,Leather Cap,Necklace,Platinum Ring of Anger,Plated Belt,Maul
6120,Ring Mail,Ornate Greaves,Leather Gloves,Leather Cap of Rage,"""Maelstrom Roar"" Amulet of Enlightenment",Platinum Ring,Demonhide Belt of the Twins,Wand of Protection
6121,Dragonskin Armor,Silk Slippers,Linen Gloves,Ancient Helm,Necklace of Titans,Bronze Ring,"""Carrion Roar"" Heavy Belt of Titans",Long Sword
6122,"""Death Root"" Holy Chestplate of Rage",Divine Slippers,Holy Gauntlets,Helm,Pendant,Silver Ring,"""Ghoul Root"" Brightsilk Sash of Vitriol",Katana of Giants
6123,Shirt,Divine Slippers,Wool Gloves of Power,Ancient Helm,Pendant,Titanium Ring,Linen Sash,Club
6124,Ornate Chestplate of Vitriol,Studded Leather Boots,Dragonskin Gloves,Hood,Necklace of Brilliance,Titanium Ring of Perfection,Studded Leather Belt,Chronicle
6125,Ornate Chestplate,Heavy Boots,Hard Leather Gloves,Crown,Pendant,Bronze Ring,Studded Leather Belt,Long Sword
6126,"""Apocalypse Tear"" Holy Chestplate of Rage",Shoes,Wool Gloves,Leather Cap,Amulet of Titans,Silver Ring,War Belt of Titans,Maul of Titans
6127,Demon Husk,Chain Boots,Leather Gloves,Hood,Amulet,Platinum Ring,Studded Leather Belt,Chronicle
6128,Demon Husk,Leather Boots,Gauntlets,Helm,"""Demon Peak"" Pendant of Fury +1",Gold Ring,Studded Leather Belt,Grimoire
6129,Robe,Shoes,Holy Gauntlets,Leather Cap of Power,"""Fate Sun"" Amulet of Fury",Bronze Ring,Mesh Belt,Book
6130,"""Corpse Tear"" Chain Mail of Vitriol",Holy Greaves of Enlightenment,"""Oblivion Bite"" Silk Gloves of Enlightenment +1",Crown,Necklace,"""Pain Tear"" Titanium Ring of Giants",Leather Belt,Grimoire
6131,Plate Mail,Holy Greaves,Holy Gauntlets,Ancient Helm of Perfection,Necklace of Rage,Bronze Ring,Sash of Perfection,Mace of Giants
6132,Ornate Chestplate,Linen Shoes,Ornate Gauntlets,Hood,"""Rage Bite"" Pendant of the Fox +1",Titanium Ring,Mesh Belt,Chronicle of Giants
6133,Hard Leather Armor,Dragonskin Boots,Leather Gloves,"""Armageddon Shout"" Divine Hood of Vitriol +1","""Honour Shout"" Pendant of Vitriol +1",Titanium Ring,Dragonskin Belt,Maul
6134,Shirt,Demonhide Boots of Rage,Wool Gloves of Power,Great Helm,Pendant,Silver Ring,"""Grim Grasp"" Plated Belt of Vitriol +1",Quarterstaff
6135,Robe of Power,"""Oblivion Bender"" Demonhide Boots of Titans +1",Divine Gloves of Reflection,Linen Hood,Necklace,Titanium Ring,Plated Belt,Warhammer of Power
6136,Holy Chestplate,Studded Leather Boots,Linen Gloves,Demon Crown,Pendant,"""Light's Root"" Silver Ring of Brilliance",Studded Leather Belt of the Fox,Katana
6137,Linen Robe,Hard Leather Boots,Dragonskin Gloves,Dragon's Crown,Necklace,Silver Ring,Mesh Belt of the Fox,Quarterstaff
6138,Studded Leather Armor,Holy Greaves,Holy Gauntlets,Leather Cap,Pendant of Power,Titanium Ring of Power,Silk Sash,Grave Wand
6139,Dragonskin Armor of Enlightenment,"""Death Tear"" Studded Leather Boots of Detection",Leather Gloves of Enlightenment,Cap,Pendant,Bronze Ring,Ornate Belt of Perfection,Chronicle
6140,Robe,Leather Boots,Linen Gloves,Silk Hood of Power,Pendant,"""Ghoul Glow"" Gold Ring of Detection",Mesh Belt of Rage,Grave Wand
6141,Shirt of Vitriol,Greaves of Perfection,Silk Gloves,Helm,"""Corruption Peak"" Pendant of the Fox +1",Titanium Ring,Sash of Brilliance,Wand
6142,Divine Robe,Leather Boots of Fury,Gloves,Hood,Necklace,Gold Ring,Heavy Belt,Club
6143,Chain Mail,Shoes,Studded Leather Gloves,Full Helm,Necklace of Rage,Gold Ring,Dragonskin Belt,Short Sword
6144,Dragonskin Armor,Holy Greaves of Detection,Leather Gloves of Perfection,War Cap,Amulet,Bronze Ring,Silk Sash of Reflection,Katana of Protection
6145,Divine Robe,Divine Slippers of Brilliance,"""Fate Whisper"" Heavy Gloves of Reflection",War Cap,Amulet,Silver Ring,Brightsilk Sash,Quarterstaff
6146,Divine Robe,Leather Boots of Giants,Silk Gloves,Divine Hood,Necklace of Detection,Bronze Ring,Plated Belt,Falchion of Titans
6147,Divine Robe,Holy Greaves of the Fox,Heavy Gloves,Silk Hood,Necklace,Titanium Ring of Skill,Plated Belt,Bone Wand of Enlightenment
6148,Leather Armor,Leather Boots of Titans,"""Dusk Glow"" Studded Leather Gloves of the Twins",War Cap,Amulet,Silver Ring,Studded Leather Belt,Falchion
6149,Ring Mail,Dragonskin Boots,Hard Leather Gloves of the Twins,Ancient Helm of the Twins,Pendant,Gold Ring,Dragonskin Belt,Tome of the Fox
6150,Leather Armor of Perfection,Wool Shoes of Giants,Silk Gloves,Ancient Helm,Amulet of Giants,Bronze Ring,Wool Sash of Fury,Tome
6151,Dragonskin Armor of Power,Shoes,Wool Gloves,Dragon's Crown of Rage,Amulet,Bronze Ring,Mesh Belt,Ghost Wand of Enlightenment
6152,Dragonskin Armor,Heavy Boots,Gloves,Dragon's Crown,Necklace,Gold Ring,Silk Sash,Grave Wand
6153,Holy Chestplate,Chain Boots,Linen Gloves,Leather Cap,Pendant of Giants,Platinum Ring of Anger,Hard Leather Belt,Chronicle
6154,Hard Leather Armor,Studded Leather Boots of Skill,Dragonskin Gloves,Dragon's Crown of Titans,Necklace,Platinum Ring,Leather Belt of Fury,"""Vortex Tear"" Wand of Skill"
6155,Linen Robe,Holy Greaves,Chain Gloves,Ancient Helm,Amulet,Silver Ring,Plated Belt,Falchion
6156,Chain Mail,Chain Boots,Demon's Hands,Ancient Helm,Amulet,Titanium Ring,Leather Belt,Mace of Rage
6157,Leather Armor,Chain Boots,Heavy Gloves,"""Pain Sun"" Crown of Titans",Necklace of Perfection,Platinum Ring,Ornate Belt,Maul
6158,Linen Robe,Greaves,Leather Gloves,Linen Hood,Necklace of Giants,Bronze Ring,Ornate Belt,Bone Wand of Power
6159,Ornate Chestplate,Leather Boots of Fury,Leather Gloves,Dragon's Crown of Vitriol,Pendant,Silver Ring,Sash,Chronicle
6160,Linen Robe,Shoes,Wool Gloves,"""Demon Shout"" Great Helm of Rage +1",Amulet,Platinum Ring,Wool Sash,"""Dusk Whisper"" Ghost Wand of Power"
6161,Dragonskin Armor,Leather Boots of Vitriol,Demon's Hands,Full Helm,Amulet,Bronze Ring,"""Golem Roar"" Studded Leather Belt of Fury",Bone Wand
6162,Plate Mail,"""Hypnotic Roar"" Divine Slippers of the Fox",Wool Gloves of Protection,Divine Hood,Amulet,Titanium Ring,Sash,Maul
6163,Leather Armor,Shoes of Brilliance,Silk Gloves,Dragon's Crown of Power,"""Plague Roar"" Amulet of the Fox",Gold Ring,Linen Sash,Quarterstaff
6164,Chain Mail,"""Tempest Bender"" Demonhide Boots of Enlightenment +1",Heavy Gloves,Great Helm of Skill,Necklace,Silver Ring,Sash of the Fox,Club
6165,Plate Mail,Holy Greaves,Ornate Gauntlets,Hood,Pendant,Platinum Ring,Linen Sash,Falchion
6166,Studded Leather Armor,Wool Shoes,"""Armageddon Peak"" Demon's Hands of Perfection +1",Demon Crown,Necklace,"""Brimstone Grasp"" Titanium Ring of Protection +1",Wool Sash,Short Sword
6167,Demon Husk of the Twins,Holy Greaves,Linen Gloves,War Cap,Necklace,Silver Ring,Dragonskin Belt,Tome of Power
6168,Shirt,Hard Leather Boots,Hard Leather Gloves,"""Cataclysm Grasp"" Leather Cap of Giants +1","""Vortex Whisper"" Amulet of Anger","""Storm Whisper"" Bronze Ring of Reflection",Ornate Belt,Wand
6169,Chain Mail,Shoes,Heavy Gloves,Ornate Helm,Amulet,Bronze Ring of Fury,Mesh Belt,Short Sword of the Twins
6170,Studded Leather Armor,Wool Shoes,Demon's Hands of the Twins,"""Skull Bite"" Divine Hood of Power +1",Necklace of Brilliance,Titanium Ring,War Belt,Mace
6171,Studded Leather Armor,Chain Boots,Heavy Gloves,Silk Hood of Fury,Pendant,Bronze Ring,Wool Sash,Grave Wand
6172,Plate Mail,Silk Slippers of the Fox,Demon's Hands,Demon Crown,"""Oblivion Bender"" Pendant of Titans +1",Bronze Ring,Plated Belt,Katana
6173,Holy Chestplate,Greaves of Giants,Linen Gloves,Hood,Necklace of Skill,Gold Ring,Hard Leather Belt,Grimoire of Perfection
6174,Silk Robe,Hard Leather Boots,Dragonskin Gloves,War Cap,Pendant of Fury,Bronze Ring of Brilliance,Dragonskin Belt,Chronicle of Skill
6175,Plate Mail,Ornate Greaves of Giants,"""Skull Grasp"" Gauntlets of Giants +1",War Cap,Necklace,Silver Ring of Protection,Linen Sash of Giants,Quarterstaff
6176,Linen Robe,Divine Slippers,Hard Leather Gloves,Dragon's Crown of Vitriol,"""Plague Glow"" Amulet of Brilliance",Platinum Ring,Wool Sash of Detection,Falchion of Enlightenment
6177,Leather Armor of Anger,Divine Slippers,Heavy Gloves,Full Helm,Amulet of Protection,Platinum Ring of Giants,War Belt,Tome
6178,Robe,Divine Slippers,Chain Gloves,Ornate Helm,Pendant,Silver Ring,"""Golem Roar"" Linen Sash of the Fox","""Hypnotic Root"" Quarterstaff of Rage"
6179,Ornate Chestplate,Divine Slippers,Ornate Gauntlets,Hood,"""Armageddon Peak"" Pendant of Fury +1",Silver Ring,Plated Belt,Mace
6180,Shirt,"""Pandemonium Grasp"" Demonhide Boots of Rage +1",Heavy Gloves,Silk Hood,Amulet,Titanium Ring of Anger,Studded Leather Belt,Falchion
6181,"""Storm Glow"" Silk Robe of Skill",Divine Slippers,Studded Leather Gloves,Hood,Necklace of Skill,Gold Ring,"""Oblivion Shout"" Plated Belt of Detection +1",Maul
6182,Plate Mail of Power,Demonhide Boots,Chain Gloves of Power,Full Helm,Necklace of Anger,Titanium Ring,Ornate Belt,Bone Wand
6183,Holy Chestplate,Dragonskin Boots,Ornate Gauntlets,Great Helm,Amulet of Power,Titanium Ring of Brilliance,Demonhide Belt,Quarterstaff
6184,Ornate Chestplate,"""Eagle Peak"" Greaves of the Fox +1",Chain Gloves,Cap,Amulet,Titanium Ring of Enlightenment,Wool Sash,Quarterstaff
6185,Silk Robe of Anger,Divine Slippers,Gloves,Demon Crown,Pendant,Titanium Ring of Vitriol,Wool Sash of Titans,Ghost Wand of Fury
6186,Dragonskin Armor,Wool Shoes,Gloves of Vitriol,Demon Crown,Necklace of Protection,Silver Ring,Hard Leather Belt,Grimoire
6187,Shirt,Demonhide Boots,Divine Gloves of Reflection,Demon Crown,"""Morbid Whisper"" Amulet of Titans",Silver Ring,Demonhide Belt,Quarterstaff of Brilliance
6188,"""Honour Moon"" Demon Husk of Detection +1",Linen Shoes,Gloves,Cap of Power,Amulet of Anger,"""Death Glow"" Platinum Ring of Rage",Dragonskin Belt,Warhammer
6189,"""Rune Whisper"" Chain Mail of Reflection",Chain Boots,Silk Gloves of Brilliance,Full Helm of Protection,Necklace,Bronze Ring,Heavy Belt,Scimitar
6190,"""Vengeance Roar"" Shirt of Enlightenment",Studded Leather Boots of Brilliance,Studded Leather Gloves,War Cap,Necklace of Brilliance,"""Pandemonium Bite"" Silver Ring of Power +1",Hard Leather Belt,Katana
6191,Leather Armor of Vitriol,Heavy Boots,"""Vortex Glow"" Studded Leather Gloves of the Twins",Hood,Necklace,Gold Ring,Plated Belt,"""Woe Moon"" Book of the Twins +1"
6192,"""Eagle Shout"" Linen Robe of Brilliance +1",Shoes of Brilliance,"""Apocalypse Glow"" Studded Leather Gloves of Rage","""Blight Moon"" Demon Crown of Giants +1",Necklace,Silver Ring,Leather Belt,"""Dread Moon"" Book of the Twins +1"
6193,Robe,Leather Boots,Heavy Gloves,Hood,"""Kraken Moon"" Pendant of Protection +1","""Golem Root"" Bronze Ring of Skill",Hard Leather Belt,Grimoire
6194,Divine Robe of Fury,Chain Boots,Linen Gloves,Cap of Vitriol,Amulet,Gold Ring,War Belt of Reflection,Katana
6195,Chain Mail,Leather Boots,Holy Gauntlets,"""Demon Shout"" Leather Cap of Brilliance +1",Necklace,Silver Ring of Detection,Leather Belt,Ghost Wand
6196,Hard Leather Armor,Wool Shoes,Chain Gloves,Cap,Necklace of Power,Platinum Ring,Dragonskin Belt,Chronicle of Rage
6197,"""Gloom Bender"" Demon Husk of Reflection +1",Shoes of the Twins,Leather Gloves,Great Helm,Amulet,Bronze Ring,Wool Sash of Titans,Tome
6198,Silk Robe of the Fox,Silk Slippers of Giants,Holy Gauntlets,"""Eagle Moon"" Hood of the Twins +1",Pendant,Platinum Ring,Ornate Belt of Protection,Mace of Giants
6199,Dragonskin Armor of Detection,Linen Shoes,Holy Gauntlets of Perfection,"""Brimstone Shout"" Demon Crown of Protection +1",Necklace,Silver Ring,"""Bramble Roar"" Studded Leather Belt of Power","""Kraken Grasp"" Katana of Detection +1"
6200,Plate Mail of Anger,Chain Boots of Protection,Ornate Gauntlets,Helm,"""Dragon Whisper"" Amulet of Titans",Silver Ring,Plated Belt,Wand
6201,Ring Mail,Leather Boots,Divine Gloves,Silk Hood of Power,Necklace,Silver Ring,War Belt,Bone Wand
